State,1.1,1.2,1.3,1.4,1.5,1.6,2.1,2.2,2.3,2.4,2.5,3.1,3.2,3.3,3.4,3.5,3.6,4.1,4.2,4.3,4.4,4.5,5.1,5.2,5.3,5.4,5.5,1.1_n,1.2_n,1.3_n,1.4_n,1.5_n,1.6_n,2.1_n,2.2_n,2.3_n,2.4_n,2.5_n,3.1_n,3.2_n,3.3_n,3.4_n,3.5_n,3.6_n,4.1_n,4.2_n,4.3_n,4.4_n,4.5_n,5.1_n,5.2_n,5.3_n,5.4_n,5.5_n,Reproductive Rights,LGBTQ+ Protections,Voting Access,Labor Rights,Criminal Justice,Composite_EqualWeight,Composite_PCA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Rank_EqualWeight,Rank_PCA
Alabama,0,50,0,0,0,0,-10.25,0,0,0,0,-2,0,0,0,33,0,9.41,7.25,0,0,0,0,0,0,0.0,50,0.0,50.0,0.0,0.0,0.0,0.0,6.302521008403361,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,33.0,0.0,4.374923622143468,16.406249999999996,0.0,0.0,0.0,0.0,24.81203007518797,0.0,0.0,100.0,8.333333333333334,1.2605042016806722,12.642857142857144,4.156234724428693,24.962406015037594,10.271067083467488,9.846395738988594,64.8,59610,59.0,63.1,26.6,4.8,0.4847,3.0,1,R,49,49
Alaska,100,100,100,0,0,100,8.5,50,0,50,100,0,100,100,67,67,100,53.7,13.0,0,100,100,100,33,50,0.0,0,100.0,100.0,100.0,0.0,0.0,100.0,37.81512605042017,50.0,0.0,50.0,100.0,57.14285714285714,100.0,100.0,67.0,67.0,100.0,58.49932787486253,61.328125,0.0,100.0,100.0,100.0,49.62406015037594,50.0,0.0,0.0,66.66666666666667,47.563025210084035,81.85714285714285,63.9654905749725,39.92481203007519,59.99542746778825,60.299966373326626,55.5,86370,66.0,58.8,3.2,7.5,0.422,5.2,1,R,21,21
Arizona,80,100,100,100,100,0,5.75,50,0,50,0,-2,0,0,33,67,0,49.54,15.15,0,100,0,0,0,50,0.0,50,80.0,100.0,100.0,100.0,100.0,0.0,33.193277310924366,50.0,0.0,50.0,0.0,42.857142857142854,0.0,0.0,33.0,67.0,0.0,53.41561774410363,78.12500000000001,0.0,100.0,0.0,0.0,24.81203007518797,50.0,0.0,100.0,80.0,26.638655462184875,23.80952380952381,46.30812354882073,34.962406015037594,42.3437417671134,42.598733279756544,52.8,72581,89.8,53.4,5.0,31.4,0.468,3.6,1,R,24,24
Arkansas,0,0,0,0,0,0,-10.5,0,0,0,0,-4,0,0,0,33,0,23.22,11.0,0,0,0,0,33,0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,33.0,0.0,21.251374801417576,45.703125,0.0,0.0,0.0,0.0,49.62406015037594,0.0,100.0,0.0,0.0,1.176470588235294,10.261904761904761,13.390899960283514,29.92481203007519,10.950817468099752,10.408072331367062,65.5,56335,56.2,68.5,15.2,8.6,0.478,3.6,1,R,48,48
California,80,100,100,100,100,100,45.0,100,100,100,100,6,100,100,100,67,100,85.45,16.9,100,100,100,50,67,50,100.0,0,80.0,100.0,100.0,100.0,100.0,100.0,99.15966386554622,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.0,100.0,97.29927899303435,91.79687499999999,100.0,100.0,100.0,50.0,75.18796992481202,50.0,100.0,0.0,96.66666666666667,99.83193277310924,94.5,97.81923079860687,55.037593984962406,88.77108484466905,89.63799233805258,37.7,91905,95.0,34.7,5.7,40.2,0.489,5.3,1,D,2,2
Colorado,100,100,100,100,100,50,45.5,100,100,100,100,1,100,100,67,67,100,67.81,15.16,100,100,100,100,67,50,0.0,50,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,64.28571428571429,100.0,100.0,67.0,67.0,100.0,75.74239276548943,78.203125,100.0,100.0,100.0,100.0,75.18796992481202,50.0,0.0,100.0,91.66666666666667,100.0,83.04761904761905,90.78910355309787,65.0375939849624,86.1081966504692,86.7305341165701,44.7,87598,86.2,64.8,4.1,22.3,0.458,3.8,1,D,5,5
Connecticut,80,100,100,100,100,100,41.0,100,100,100,50,2,100,100,67,33,100,70.89,16.94,100,100,100,100,67,0,100.0,0,80.0,100.0,100.0,100.0,100.0,100.0,92.43697478991596,100.0,100.0,100.0,50.0,71.42857142857143,100.0,100.0,67.0,33.0,100.0,79.50629353537822,92.10937500000001,100.0,100.0,100.0,100.0,75.18796992481202,0.0,100.0,0.0,96.66666666666667,88.48739495798318,78.57142857142857,94.32313370707564,55.037593984962406,82.6172435776233,83.36495879151569,40.4,90213,88.0,63.2,10.8,17.3,0.499,4.0,1,D,12,12
Delaware,80,100,100,100,100,50,30.5,100,100,100,100,1,0,0,67,33,0,62.38,15.0,100,0,100,100,0,0,100.0,50,80.0,100.0,100.0,100.0,100.0,50.0,74.78991596638656,100.0,100.0,100.0,100.0,64.28571428571429,0.0,0.0,67.0,33.0,0.0,69.10668459000368,76.953125,100.0,0.0,100.0,100.0,24.81203007518797,0.0,100.0,100.0,88.33333333333333,94.95798319327731,27.38095238095238,69.21196191800074,64.9624060150376,68.96932736812028,69.4895367179517,42.5,79325,83.3,58.6,22.1,10.0,0.458,4.2,1,D,20,20
District of Columbia,100,100,0,100,100,100,41.0,100,100,100,100,1,100,100,100,100,100,87.66,17.95,100,100,100,100,100,100,,0,100.0,100.0,0.0,100.0,100.0,100.0,92.43697478991596,100.0,100.0,100.0,100.0,64.28571428571429,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,0.0,83.33333333333333,98.48739495798318,94.04761904761904,100.0,75.0,90.17366946778711,90.55132289402067,7.2,101722,100.0,33.1,43.4,11.5,0.51,4.8,1,D,1,1
Florida,20,0,0,0,0,0,-4.0,50,0,0,0,-3,0,0,33,33,0,43.62,14.0,0,0,0,0,0,0,0.0,50,20.0,0.0,0.0,0.0,0.0,0.0,16.80672268907563,50.0,0.0,0.0,0.0,35.714285714285715,0.0,0.0,33.0,33.0,0.0,46.181107173408286,69.140625,0.0,0.0,0.0,0.0,24.81203007518797,0.0,0.0,100.0,3.3333333333333335,13.361344537815125,16.952380952380953,23.06434643468166,24.962406015037594,16.334762254649732,16.071027396286226,57.2,67917,91.2,51.5,15.4,26.8,0.488,3.1,0,R,40,40
